Model,train,val
ElasticNet.pkl,0.43815029428586394,0.4361753210124505
Lasso.pkl,0.4655149322055727,0.4640472431331888
linear_regression.pkl,0.4655223633089849,0.46406927503499296
polynomial_deg6.pkl,0.6744670384623982,0.6719634080790104
Ridge.pkl,0.4655223624536765,0.4640690882009457
